"Algorithm","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"GAM",0.0190385554407557,0.0116659107105448,Inf,-0.00382620939877219,0.0419033202802835,"Schoener's D"
"GLM",0.0364581544282007,0.0116659107105447,Inf,0.0135933895886731,0.0593229192677284,"Schoener's D"
"MAXENT",0.0182341787980184,0.0116659107105447,Inf,-0.00463058604150929,0.0410989436375461,"Schoener's D"
"RF",-0.000944059667614419,0.0116659107105447,Inf,-0.0238088245071421,0.0219207051719133,"Schoener's D"
"GAM",5.41000253832052,11.0122758907458,Inf,-16.1736615953599,26.9936666720009,"Mean Suitablilty"
"GLM",5.15052468597684,11.0122758907457,Inf,-16.4331394477034,26.7341888196571,"Mean Suitablilty"
"MAXENT",-3.33773290973112,11.0122758907457,Inf,-24.9213970434114,18.2459312239491,"Mean Suitablilty"
"RF",-3.35225806286088,11.0122758907457,Inf,-24.9359221965411,18.2314060708194,"Mean Suitablilty"
"GAM",1.80158343594864,1.60595173356905,Inf,-1.34602412275636,4.94919099465364,"Suitable Area"
"GLM",1.90010189748422,1.60595173356904,Inf,-1.24750566122076,5.04770945618919,"Suitable Area"
"MAXENT",0.984914887611283,1.60595173356904,Inf,-2.16269267109369,4.13252244631626,"Suitable Area"
"RF",-0.35036995419866,1.60595173356904,Inf,-3.49797751290364,2.79723760450632,"Suitable Area"
"GAM",-36.506240936808,28.530083640073,Inf,-92.4241773472664,19.4116954736504,"Elevation Centroid"
"GLM",-42.2577032816855,28.5300836400727,Inf,-98.1756396921433,13.6602331287723,"Elevation Centroid"
"MAXENT",-3.78188312229321,28.5300836400727,Inf,-59.699819532751,52.1360532881646,"Elevation Centroid"
"RF",-7.36101624055175,28.5300836400727,Inf,-63.2789526510095,48.556920169906,"Elevation Centroid"
