"Algorithm","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"GAM",0.206844757993918,0.0535121266471655,Inf,0.101962917029328,0.311726598958509,"Schoener's D"
"GLM",0.304352669020197,0.0535121266471649,Inf,0.199470828055608,0.409234509984786,"Schoener's D"
"MAXENT",0.202342180973158,0.0535121266471649,Inf,0.0974603400085686,0.307224021937747,"Schoener's D"
"RF",0.0949901132650813,0.0535121266471649,Inf,-0.00989172769950791,0.199871954229671,"Schoener's D"
"GAM",0.175796162769922,0.0639289541672772,Inf,0.0504977150327468,0.301094610507097,"Mean Suitablilty"
"GLM",0.17399740504734,0.0639289541672772,Inf,0.0486989573101649,0.299295852784515,"Mean Suitablilty"
"MAXENT",0.11515493057947,0.0639289541672772,Inf,-0.0101435171577055,0.240453378316645,"Mean Suitablilty"
"RF",0.115054239013204,0.0639289541672772,Inf,-0.0102442087239711,0.240352686750379,"Mean Suitablilty"
"GAM",0.213355320171384,0.0603571801877799,Inf,0.0950574207949406,0.331653219547827,"Suitable Area"
"GLM",0.217740227753136,0.0603571801877793,Inf,0.0994423283766936,0.336038127129578,"Suitable Area"
"MAXENT",0.177006639390493,0.0603571801877793,Inf,0.058708740014051,0.295304538766935,"Suitable Area"
"RF",0.117575132489281,0.0603571801877793,Inf,-0.000722766887161191,0.235873031865723,"Suitable Area"
"GAM",-0.141797739780715,0.0809745232951197,Inf,-0.300504889104449,0.0169094095430191,"Elevation Centroid"
"GLM",-0.163146622445517,0.0809745232951189,Inf,-0.32185377176925,-0.00443947312178447,"Elevation Centroid"
"MAXENT",-0.0203280276673029,0.0809745232951189,Inf,-0.179035176991035,0.13837912165643,"Elevation Centroid"
"RF",-0.0336134303008594,0.0809745232951189,Inf,-0.192320579624592,0.125093719022873,"Elevation Centroid"
