"Species","NicheBreadth","Occurrences","LogOccurrences","Bootstrap","Algorithm","PAStrategy","PANumber","MeanSuitability","SuitableArea","SchoenersD","ElevationCentroid","TSS"
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","random",1,208.862190812721,23.4184027777774,0.865615734082007,2171.83390805652,511
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","random",1,220.543063685162,30.0920138888884,0.863404829587809,2212.8279318382,403
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","random",1,105.027836970302,7.78993055555543,0.684466552509122,2280.74523389981,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","random",1,45.683003803307,20.6961805555552,0.341908300576372,2554.18643149587,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","random",3,125.031262643973,24.2899305555552,0.781800771760524,2277.68111263517,255
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","random",3,134.944825074852,29.0520833333329,0.785275219245337,2324.85962497673,199
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","random",3,51.1425296037548,3.08159722222217,0.562992402913605,2438.94086836177,485
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","random",3,48.6686132765085,16.3177083333331,0.477928451982608,2491.11788200521,71
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","random",5,93.0022523130041,25.2951388888885,0.733248285018425,2333.37424397219,160
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","random",5,101.23042375853,32.2934027777773,0.738007671682371,2386.07791395783,109
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","random",5,35.4618994955898,2.25173611111108,0.487656733938578,2506.98990932387,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","random",5,52.2176921209506,16.1892361111109,0.532869539178617,2475.73811391436,91
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","disk",1,275.079613195587,32.0555555555551,0.916111872441003,2088.90478192031,556
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","disk",1,283.565438459256,34.0954861111106,0.911752610700348,2090.17844450121,545
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","disk",1,242.372697111105,29.3993055555551,0.863504833045599,2117.78294889657,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","disk",1,137.988333827853,36.5538194444439,0.562605900292214,2171.91015955672,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","disk",3,210.222142799342,31.6093749999995,0.860352544986537,2128.02384454201,313
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","disk",3,215.624834785423,34.9531249999994,0.876396337919966,2139.5777624688,263
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","disk",3,185.865077010223,22.9027777777774,0.794571573801395,2163.69842550173,444
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","disk",3,106.960537318264,17.2170138888886,0.419373921638157,2308.26052429698,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GLM","disk",5,183.637418067057,31.9999999999995,0.814935744772803,2152.15622907789,212
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"GAM","disk",5,188.625954198473,35.383680555555,0.829846756467529,2160.60100923361,172
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"RF","disk",5,167.248671539935,21.1006944444441,0.761676218889619,2187.7581972805,434
"Silene acaulis",0.650086721719821,4327,3.63618689519872,1,"MAXENT","disk",5,101.172416583497,15.0642361111109,0.385049678991254,2315.61434840626,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","random",1,212.184541310388,25.5104166666663,0.871119633700709,2161.73815549652,489
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","random",1,224.052167345508,24.9583333333329,0.865889364754634,2197.61142807989,503
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","random",1,103.612197556173,6.48958333333323,0.69681171598679,2277.7508712738,510
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","random",1,49.0577778976614,16.4479166666664,0.345043690834286,2577.72042767464,30
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","random",3,126.062498314137,24.1284722222218,0.777964054173076,2277.70955554866,262
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","random",3,136.779192404176,28.2187499999996,0.785634139674118,2321.32374490097,214
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","random",3,52.3139751301486,3.18576388888884,0.560700087370401,2440.1858916716,500
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","random",3,47.1038761362717,18.4479166666664,0.469588017742926,2496.15214467079,50
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","random",5,94.2126345318696,24.3263888888885,0.733621246550287,2329.08359170223,172
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","random",5,102.626331831791,29.8906249999995,0.743118587993443,2378.33341914901,127
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","random",5,36.0240066895045,2.32118055555552,0.488308629788728,2506.03848619038,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","random",5,48.6021228387236,22.9045138888885,0.501750059391262,2478.97040059073,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","disk",1,285.005677986675,36.0954861111105,0.906395546867803,2090.43549117451,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","disk",1,290.148935883257,34.4861111111106,0.898828426042816,2091.09749628871,556
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","disk",1,248.54721765166,29.8836805555551,0.861992539836119,2109.93261475446,485
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","disk",1,121.83227685917,17.6145833333331,0.450394865477078,2315.44958341156,20
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","disk",3,215.092776414102,35.7656249999994,0.86696006810041,2129.11904414203,242
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","disk",3,218.37571817765,33.5034722222217,0.878260034924177,2140.31095569665,313
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","disk",3,189.196639063469,23.3541666666663,0.798029707232986,2161.51796948056,455
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","disk",3,109.88026326437,15.6111111111109,0.419126516749386,2296.83252675588,60
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GLM","disk",5,185.840706174305,35.211805555555,0.817216819891625,2152.22457279355,172
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"GAM","disk",5,187.58918889758,32.586805555555,0.834699016805219,2170.3744728229,232
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"RF","disk",5,170.705499959539,21.7934027777774,0.764347250331158,2176.85931929276,429
"Silene acaulis",0.650086721719821,4327,3.63618689519872,2,"MAXENT","disk",5,100.887681061689,14.3524305555553,0.388453339172472,2345.31938896997,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","random",1,212.89299490195,24.6440972222218,0.873546102845077,2159.4277730659,502
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","random",1,223.812221832601,27.6145833333329,0.872120042308462,2198.44462629546,458
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","random",1,104.343457502765,7.50694444444433,0.690011909047376,2296.96234339152,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","random",1,54.0784128611119,16.8038194444442,0.462363733349769,2526.45690772722,70
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","random",3,126.1161222453,24.6909722222218,0.785077036597177,2269.05327565826,259
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","random",3,135.703463437003,27.6406249999996,0.79079299783595,2316.76058096165,220
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","random",3,50.5697947293178,2.9913194444444,0.556531243242455,2443.80110882698,500
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","random",3,52.2781269387425,15.1423611111109,0.491811904472939,2494.23339294477,91
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","random",5,94.8313058020662,25.1458333333329,0.73434346705692,2330.07839405794,163
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","random",5,102.471164998786,30.8246527777773,0.742599303340924,2379.7974355036,118
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","random",5,36.0715884875786,2.39409722222218,0.482718914705026,2529.4403940231,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","random",5,50.0075796401694,18.739583333333,0.50258285213305,2497.83299270577,61
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","disk",1,284.962857065789,36.5920138888883,0.89692150939092,2069.77937111219,465
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","disk",1,285.437083591832,39.9895833333327,0.910580304998919,2062.54101678613,374
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","disk",1,238.939308931028,29.9565972222217,0.855708735715603,2095.53255419811,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","disk",1,130.032543899873,19.3767361111108,0.48524811979889,2249.87544071692,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","disk",3,217.633385482696,35.0954861111106,0.862039772531312,2095.46266631013,272
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","disk",3,216.628058155531,39.7934027777771,0.882087501264948,2103.97873877544,182
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","disk",3,179.65371024735,21.3315972222219,0.783597451352323,2135.78501155053,480
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","disk",3,105.937852345373,19.5468749999997,0.449642466305717,2248.39809873317,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GLM","disk",5,187.493742076444,34.3142361111106,0.815507466447818,2119.18555168423,192
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"GAM","disk",5,185.942882960645,32.0364583333328,0.833311538272534,2130.07086832513,232
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"RF","disk",5,162.018881665902,20.7777777777774,0.74835328980399,2155.17546348755,429
"Silene acaulis",0.650086721719821,4327,3.63618689519872,3,"MAXENT","disk",5,109.392253122218,15.3385416666664,0.422585247945944,2239.95513277158,90
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","random",1,205.929369082621,25.913194444444,0.867573754091703,2177.73747689657,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","random",1,217.691338710112,30.303819444444,0.865905522281999,2214.34001621467,393
