"Algorithm","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"GAM",0.0291930382197643,0.00637528985561036,Inf,0.0166976997117644,0.0416883767277641,"Schoener's D"
"GLM",0.0450047370744386,0.00637528985561032,Inf,0.0325093985664389,0.0575000755824384,"Schoener's D"
"MAXENT",0.0301028313704143,0.00637528985561032,Inf,0.0176074928624145,0.0425981698784141,"Schoener's D"
"RF",0.00624938655672845,0.00637528985561032,Inf,-0.00624595195127133,0.0187447250647282,"Schoener's D"
"GAM",19.2818998792948,6.60857307202104,Inf,6.32933466893235,32.2344650896573,"Mean Suitablilty"
"GLM",21.801353947006,6.60857307202103,Inf,8.84878873664357,34.7539191573684,"Mean Suitablilty"
"MAXENT",15.8815891716586,6.60857307202103,Inf,2.92902396129621,28.8341543820211,"Mean Suitablilty"
"RF",13.4258956577418,6.60857307202103,Inf,0.473330447379363,26.3784608681042,"Mean Suitablilty"
"GAM",3.48453489182165,0.910098947816786,Inf,1.70077373173295,5.26829605191034,"Suitable Area"
"GLM",4.08922531506193,0.910098947816783,Inf,2.30546415497324,5.87298647515063,"Suitable Area"
"MAXENT",2.90138200740128,0.910098947816783,Inf,1.11762084731258,4.68514316748997,"Suitable Area"
"RF",1.61717843406861,0.910098947816783,Inf,-0.166582726020083,3.4009395941573,"Suitable Area"
"GAM",-7.5105567460956,20.3430300678431,Inf,-47.3821630154835,32.3610495232923,"Elevation Centroid"
"GLM",-13.2483763937283,20.343030067843,Inf,-53.119982663116,26.6232298756594,"Elevation Centroid"
"MAXENT",11.5460891758109,20.343030067843,Inf,-28.3255170935768,51.4176954451986,"Elevation Centroid"
"RF",9.46214022043921,20.343030067843,Inf,-30.4094660489485,49.3337464898269,"Elevation Centroid"
